GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1988,1988,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1990,1990,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1991,1991,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1992,1992,,AMR,Americas,,,,,USA,United States of America,,,,,1,1.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1993,1993,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1994,1994,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1995,1995,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1997,1997,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1998,1998,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1999,1999,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,2006,2006,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,2007,2007,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,2008,2008,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,2009,2009,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,2010,2010,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,2011,2011,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,2012,2012,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,2013,2013,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,2014,2014,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,2015,2015,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,2016,2016,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1987,1987,,AMR,Americas,,,,,USA,United States of America,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1988,1988,,AMR,Americas,,,,,USA,United States of America,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1990,1990,,AMR,Americas,,,,,USA,United States of America,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1991,1991,,AMR,Americas,,,,,USA,United States of America,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1992,1992,,AMR,Americas,,,,,USA,United States of America,,,,,0.97,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1993,1993,,AMR,Americas,,,,,USA,United States of America,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1994,1994,,AMR,Americas,,,,,USA,United States of America,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1995,1995,,AMR,Americas,,,,,USA,United States of America,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,USA,United States of America,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1997,1997,,AMR,Americas,,,,,USA,United States of America,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1998,1998,,AMR,Americas,,,,,USA,United States of America,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1999,1999,,AMR,Americas,,,,,USA,United States of America,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,USA,United States of America,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,,,USA,United States of America,,,,,0.00,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,,,USA,United States of America,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,2006,2006,,AMR,Americas,,,,,USA,United States of America,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,2007,2007,,AMR,Americas,,,,,USA,United States of America,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,2008,2008,,AMR,Americas,,,,,USA,United States of America,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,2009,2009,,AMR,Americas,,,,,USA,United States of America,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,2010,2010,,AMR,Americas,,,,,USA,United States of America,,,,,0.00,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,2011,2011,,AMR,Americas,,,,,USA,United States of America,,,,,0.00,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,2012,2012,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,2013,2013,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,2014,2014,,AMR,Americas,,,,,USA,United States of America,,,,,0.0,0.00000,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,2015,2015,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,2016,2016,,AMR,Americas,,,,,USA,United States of America,,,,,0.0,0.00000,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,1990,1990,,AMR,Americas,,,,,USA,United States of America,,,,,44,44.06700,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,1991,1991,,AMR,Americas,,,,,USA,United States of America,,,,,43,42.97300,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,1992,1992,,AMR,Americas,,,,,USA,United States of America,,,,,42,41.68100,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,1993,1993,,AMR,Americas,,,,,USA,United States of America,,,,,40,40.28700,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,1994,1994,,AMR,Americas,,,,,USA,United States of America,,,,,39,38.86000,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,1995,1995,,AMR,Americas,,,,,USA,United States of America,,,,,38,37.50200,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,USA,United States of America,,,,,36,36.28100,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,1997,1997,,AMR,Americas,,,,,USA,United States of America,,,,,35,35.24300,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,1998,1998,,AMR,Americas,,,,,USA,United States of America,,,,,34,34.42300,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,1999,1999,,AMR,Americas,,,,,USA,United States of America,,,,,34,33.79900,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,USA,United States of America,,,,,33,33.36000,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,,,USA,United States of America,,,,,33,33.08800,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,,,USA,United States of America,,,,,33,32.93000,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,,,USA,United States of America,,,,,33,32.84800,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,,,USA,United States of America,,,,,33,32.78900,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,,,USA,United States of America,,,,,33,32.65500,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2006,2006,,AMR,Americas,,,,,USA,United States of America,,,,,32,32.39000,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2007,2007,,AMR,Americas,,,,,USA,United States of America,,,,,32,31.95400,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2008,2008,,AMR,Americas,,,,,USA,United States of America,,,,,31,31.35100,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2009,2009,,AMR,Americas,,,,,USA,United States of America,,,,,31,30.61100,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2010,2010,,AMR,Americas,,,,,USA,United States of America,,,,,30,29.81400,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2011,2011,,AMR,Americas,,,,,USA,United States of America,,,,,29,29.02300,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2012,2012,,AMR,Americas,,,,,USA,United States of America,,,,,28,28.31000,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2013,2013,,AMR,Americas,,,,,USA,United States of America,,,,,28,27.74900,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2014,2014,,AMR,Americas,,,,,USA,United States of America,,,,,27,27.35100,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2015,2015,,AMR,Americas,,,,,USA,United States of America,,,,,27,27.11500,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2016,2016,,AMR,Americas,,,,,USA,United States of America,,,,,27,26.97100,,,,,
